path,label
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\0\0.0.jpg,0
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\0\0.1.jpg,0
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\0\0.2.jpg,0
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\0\0.3.jpg,0
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\0\0.4.jpg,0
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1\1.0.jpg,1
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1\1.1.jpg,1
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1\1.2.jpg,1
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1\1.3.jpg,1
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1\1.4.jpg,1
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.0.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.1.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.2.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.3.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.4.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.5.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.6.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\100\100.7.jpg,100
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.0.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.1.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.2.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.3.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.4.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1000\1000.5.jpg,1000
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1001\1001.0.jpg,1001
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1001\1001.1.jpg,1001
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1001\1001.2.jpg,1001
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1001\1001.3.jpg,1001
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.0.jpg,1002
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.1.jpg,1002
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.2.jpg,1002
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.3.jpg,1002
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.4.jpg,1002
D:\Computer Science\TCC Ciência e Tecnologia\src\others\DogFaceNet\dogfacenet_dataset\DogFaceNet_Dataset_224_1\after_4_bis\1002\1002.5.jpg,1002
